Stellaris: Federations,"Win, Mac, Linux",643,73,Mostly Positive,"Mar 17, 2020",19.99,,0,Strategy,https://store.steampowered.com/app/1140001/Stellaris_Federations/?snr=1_7_7_240_150_1,"Strategy, Simulation, Space"
Sid Meier's Civilization® V,"Win, Mac, Linux",97800,96,Overwhelmingly Positive,"Sep 21, 2010",29.99,,0,Turn-Based Strategy,https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/?snr=1_7_7_240_150_1,"Turn-Based Strategy, Strategy, Turn-Based, Multiplayer, Historical, 4X, Addictive, Singleplayer, Hex Grid, Grand Strategy, Replay Value, Co-op, Tactical, Economy, Diplomacy, Moddable, Masterpiece, Simulation, Classic, Great Soundtrack"
Sid Meier’s Civilization® VI: Rise and Fall,"Win, Mac, Linux",1923,59,Mixed,"Feb 7, 2018",29.99,-50,14.99,Strategy,https://store.steampowered.com/app/645402/Sid_Meiers_Civilization_VI_Rise_and_Fall/?snr=1_7_7_240_150_1,"Strategy, Turn-Based, 4X, Multiplayer, Singleplayer, City Builder"
World of Warships,"Win, Mac",38458,81,Very Positive,"Nov 15, 2017",Free to Play,,0,Naval Combat,https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_240_150_1,"Naval Combat, Naval, Free to Play, Multiplayer, World War II, PvP, Military, Tactical, Team-Based, Strategy, War, Online Co-Op, Historical, Massively Multiplayer, Realistic, Co-op, Shooter, Simulation, Action, PvE"
Arma 3,Win,110199,90,Very Positive,"Sep 12, 2013",29.99,,0,Action,https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_240_150_1,"Action, Multiplayer, Military, Simulation, Shooter, First-Person, Realistic, Open World, Tactical, FPS, Co-op, War, Strategy, Sandbox, Moddable, Combat, Online Co-Op, Team-Based, Singleplayer, Third-Person Shooter"
The Jackbox Party Pack 4,"Win, Mac, Linux",626,90,Very Positive,"Oct 18, 2017",24.99,,0,Casual,https://store.steampowered.com/app/610180/The_Jackbox_Party_Pack_4/?snr=1_7_7_240_150_1,"Casual, Trivia, Indie, Strategy, Local Multiplayer, Funny, Multiplayer, Board Game, Co-op, Comedy, Family Friendly, Psychological Horror"
PLAYERUNKNOWN'S BATTLEGROUNDS,Win,1178980,52,Mixed,"Dec 21, 2017",29.99,,0,Survival,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_240_150_1,"Survival, Shooter, Multiplayer, Battle Royale, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth"
The Jackbox Party Pack 5,"Win, Mac, Linux",575,89,Very Positive,"Oct 17, 2018",29.99,,0,Casual,https://store.steampowered.com/app/774461/The_Jackbox_Party_Pack_5/?snr=1_7_7_240_150_1,"Casual, Local Multiplayer, Trivia, Comedy, Funny, Multiplayer, Strategy, Board Game, 4 Player Local"
The Jackbox Party Pack 2,"Win, Mac, Linux",646,95,Overwhelmingly Positive,"Oct 13, 2015",24.99,,0,Trivia,https://store.steampowered.com/app/397460/The_Jackbox_Party_Pack_2/?snr=1_7_7_240_150_1,"Trivia, Local Multiplayer, Casual, Indie, Comedy, Strategy, Local Co-Op, Funny, Multiplayer, Board Game, Co-op, Family Friendly"
RimWorld - Royalty,"Win, Mac, Linux",897,85,Very Positive,"Feb 24, 2020",19.99,,0,Indie,https://store.steampowered.com/app/1149640/RimWorld__Royalty/?snr=1_7_7_240_150_1,"Indie, Strategy, Simulation, Sandbox"
Two Point Hospital,"Win, Mac, Linux",12154,90,Very Positive,"Aug 29, 2018",34.99,-50,17.49,Simulation,https://store.steampowered.com/app/535930/Two_Point_Hospital/?snr=1_7_7_240_150_1,"Simulation, Medical Sim, Management, Building, Indie, Singleplayer, Funny, Strategy, Comedy, Sandbox, Casual, City Builder, Replay Value, Cartoony, Classic, Isometric, Retro, Multiplayer, Family Friendly, Tactical"
Planet Zoo: South America Pack,Win,159,58,Mixed,"Apr 7, 2020",9.99,,0,Simulation,https://store.steampowered.com/app/1238440/Planet_Zoo_South_America_Pack/?snr=1_7_7_240_150_1,"Simulation, Strategy"
Factorio,"Win, Mac, Linux",58870,98,Overwhelmingly Positive,"Feb 25, 2016",30.00,,0,Automation,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_240_150_1,"Automation, Base Building, Resource Management, Sandbox, Crafting, Strategy, Multiplayer, Survival, Open World, Management, Co-op, Moddable, Early Access, Trains, Simulation, Singleplayer, Indie, Sci-fi, Aliens, Tower Defense"
The Jackbox Party Pack,"Win, Mac, Linux",903,92,Very Positive,"Nov 26, 2014",24.99,,0,Casual,https://store.steampowered.com/app/331670/The_Jackbox_Party_Pack/?snr=1_7_7_240_150_1,"Casual, Trivia, Local Multiplayer, Funny, Indie, Strategy, Multiplayer, Comedy, Board Game, Co-op, Family Friendly, 4 Player Local, Local Co-Op"
Europa Universalis IV,"Win, Mac, Linux",50439,86,Very Positive,"Aug 13, 2013",39.99,,0,Grand Strategy,https://store.steampowered.com/app/236850/Europa_Universalis_IV/?snr=1_7_7_240_150_1,"Grand Strategy, Strategy, Historical, Simulation, Political Sim, Real-Time with Pause, Multiplayer, Military, Sandbox, Replay Value, Singleplayer, Diplomacy, Political, Moddable, Education, RTS, Medieval, Great Soundtrack, Open World, Co-op"
